artist_name,artist_genre
Nightwish,"fantasy metal, finnish metal, finnish power metal, gothic metal, gothic symphonic metal, opera metal, power metal, symphonic metal"
lostprophets,hip hop
Judas Priest,"album rock, alternative metal, birmingham metal, glam metal, hard rock, metal, rock"
Busta Rhymes,"east coast hip hop, hardcore hip hop, hip hop, pop rap, rap"
Kings of Convenience,"bergen indie, melancholia, norwegian indie"
Cold War Kids,"indie rock, modern alternative rock, modern rock, piano rock, stomp and holler"
Pendulum,"australian dance, dancefloor dnb, drum and bass"
Rod Stewart,"mellow gold, soft rock"
Drowning Pool,"alternative metal, nu metal, post-grunge, rap metal"
The Knife,"alternative dance, art pop, dance-punk, electronica, gothenburg indie, indietronica, neo-synthpop, new rave, swedish electropop, swedish synthpop, trip hop"
La Roux,"alternative dance, electropop, indietronica, neo-synthpop"
Common,"alternative hip hop, chicago rap, conscious hip hop, hardcore hip hop, hip hop, political hip hop"
The Libertines,"britpop, garage rock, garage rock revival, modern rock"
The Animals,"album rock, british invasion, classic rock, hard rock, protopunk, psychedelic rock, rock"
Paul Simon,"classic rock, folk, folk rock, mellow gold, permanent wave, rock, singer-songwriter, soft rock"
Ben Harper,"neo mellow, pastoral"
Tegan and Sara,"canadian indie, lilith, metropopolis, permanent wave"
Boards of Canada,"electronica, indietronica, intelligent dance music, scottish electronic, trip hop"
